,cname,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners,region
149,Sao Tome and Principe,0.565,STP,4,2150.55,,7.9000000953674325,,3.7568199634552,64.42681121826172,SubSaharian
16,Bhutan,0.60399997,BTN,8,5639.02,0.765999972820282,6.800000190734862,4.0338730812072745,5.924600124359131,62.83831024169922,SouthAsia
0,Afghanistan,0.479,AFG,8,1282.64,29.82500076293945,8.100000381469728,,3.780280113220215,48.75032043457031,SouthAsia
185,Tanzania,0.51899999,TZA,4,1416.3,43.88000106811523,7.0,3.0042104721069336,3.479140043258667,,SubSaharian
73,Honduras,0.62300003,HND,2,3303.1399,,6.9000000953674325,3.1801576614379883,5.86775016784668,49.259361267089844,LatAm
42,Costa Rica,0.77499998,CRI,2,9485.71,,3.5,4.666448593139648,6.9272398948669425,78.12113952636719,LatAm
85,Japan,0.90200001,JPN,6,36123.77,127.12000274658199,2.5999999046325684,4.430102348327637,3.591840028762817,99.04267120361328,EastAsia
40,Congo,0.58999997,COG,4,2369.8401,,6.800000190734862,,,,SubSaharian
71,Guyana,0.63800001,GUY,10,2042.8199,0.7559999823570251,9.100000381469727,3.933674573898315,3.19215989112854,82.4810562133789,Caribbean
51,Ecuador,0.73900002,ECU,2,7259.52,15.774999618530268,6.199999809265138,3.6465516090393066,5.246870040893555,83.0124282836914,LatAm
72,Haiti,0.49000001,HTI,2,1024.9399,,9.300000190734863,2.325876951217651,,,LatAm
174,Trinidad and Tobago,0.77899998,TTO,10,22089.16,1.353999972343445,7.5,4.182013988494873,,,Caribbean
173,Tonga,0.71799999,TON,9,3962.0601,0.1040000021457672,,,,75.42909240722656,Pacific
113,Moldova,0.70099998,MDA,1,4207.8701,3.5550000667572017,6.4000000953674325,3.163065433502197,7.4678401947021475,76.86421203613281,EastEurope
124,Nicaragua,0.64200002,NIC,2,2527.1001,5.946000099182129,8.100000381469728,2.655974626541138,,,LatAm
59,France (1963-),0.89399999,FRA,5,34007.898,64.02799987792969,2.200000047683716,4.381113052368163,5.492990016937256,99.44432830810548,WesternDem
