,cname,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph,region
34,Chad,0.39399999,TCD,4,1651.05,,89.4000015258789,0.63999999,,3.6211643218994136,SubSaharian
49,Dominica,0.72399998,DMA,10,12613.72,,,5.46,,5.485832691192627,Caribbean
147,St Vincent and the Grenadines,0.72000003,VCT,10,7454.8799,0.1099999994039536,,7.0100002,,8.630239486694336,Caribbean
84,Jamaica,0.72899997,JAM,10,4668.77,2.799000024795532,14.399999618530268,3.8299999,17.6,5.36152458190918,Caribbean
117,Oman,0.79500002,OMN,3,26158.73,3.717000007629395,10.0,0.40000001,13.5,3.553939580917358,NorthAfrica
112,Mongolia,0.73299998,MNG,6,6277.8999,2.881999969482422,23.0,,26.799999,4.730341911315918,EastAsia
18,Bosnia and Herzegovina,0.74699998,BIH,1,8507.6504,3.871000051498413,5.699999809265138,4.0300002,39.200001,9.572015762329102,EastEurope
19,Botswana,0.69800001,BWA,4,12770.73,,41.0,5.7600002,,5.412002563476563,SubSaharian
119,Nauru,,NRU,9,3130.47,0.0120000001043081,,,48.900002,3.32664942741394,Pacific
129,Marshall Islands,,MHL,9,2833.97,0.0540000014007092,,,,17.13572311401367,Pacific
7,Argentina,0.82599998,ARG,2,15102.61,41.73300170898438,12.699999809265142,7.929999799999999,25.299999,4.785916328430176,LatAm
22,Solomon Islands,0.514,SLB,9,2113.0601,0.5619999766349792,,0.99000001,,5.05106258392334,Pacific
42,Costa Rica,0.77499998,CRI,2,9485.71,,8.600000381469728,3.45,14.2,9.313112258911133,LatAm
70,Guinea,0.414,GIN,4,993.8300199999999,11.74499988555908,65.19999694824219,0.22,,5.644797801971436,SubSaharian
165,Suriname,0.72299999,SUR,10,6049.1499,0.546999990940094,18.5,6.3200002,,5.687469959259032,Caribbean
182,Macedonia,0.74599999,MKD,1,9610.5996,2.069000005722046,6.5,1.13,,6.476374626159668,EastEurope
159,Somalia,,SOM,4,1436.74,,,0.0,,,SubSaharian
75,Iceland,0.91900003,ISL,5,31313.609,0.3289999961853027,1.7999999523162842,7.4499998,17.5,8.859166145324707,WesternDem
114,Montenegro,0.80400002,MNE,1,14538.52,0.621999979019165,5.5,6.559999900000001,,6.416542530059815,EastEurope
8,Australia,0.93699998,AUS,5,38611.949,23.62100028991699,4.099999904632568,9.71,16.0,9.422300338745117,WesternDem
14,Barbados,0.79400003,BRB,10,22888.971,0.2790000140666962,16.89999961853027,8.819999699999999,7.0,7.4693031311035165,Caribbean
175,United Arab Emirates,0.83600003,ARE,3,20310.109,,7.199999809265138,1.91,,3.643985748291016,NorthAfrica
5,Antigua and Barbuda,0.78399998,ATG,10,12257.71,,,8.5600004,,5.5416831970214835,Caribbean
136,Philippines,0.67900002,PHL,7,3953.1001,100.1490020751953,23.5,4.52,26.700001,4.709985256195068,SouthEastAsia
176,Tunisia,0.72299999,TUN,3,6912.2798,,13.800000190734858,1.39,,7.003858089447022,NorthAfrica
167,Sweden,0.90899998,SWE,5,39000.91,9.645000457763672,2.299999952316284,7.3000002,21.9,11.92984008789063,WesternDem
79,Iraq,0.64899999,IRQ,3,4178.2598,32.57799911499023,,0.17,,5.538873195648193,NorthAfrica
188,Uruguay,0.79400003,URY,2,12804.84,3.453999996185303,6.199999809265138,6.0300002,24.799999,8.581491470336914,LatAm
170,Tajikistan,0.625,TJK,1,3592.6499,8.131999969482424,49.0,0.31999999,,6.8808841705322275,EastEurope
169,Syria,0.55299997,SYR,3,4284.4199,,14.199999809265142,0.75999999,,3.254531145095825,NorthAfrica
1,Albania,0.76200002,ALB,1,8516.7002,,15.0,4.5100002,29.700001,5.883105278015138,EastEurope
151,Senegal,0.491,SEN,4,1527.99,,45.20000076293945,0.25999999,11.1,4.664971828460693,SubSaharian
65,Ghana,0.57499999,GHA,4,2584.6001,,48.599998474121094,1.64,6.3000002,3.557291984558107,SubSaharian
153,Seychelles,0.78100002,SYC,4,9583.3203,0.0900000035762787,11.199999809265142,9.7200003,26.700001,3.369816780090332,SubSaharian
77,Indonesia,0.68599999,IDN,7,4780.0098,252.1649932861328,25.79999923706055,0.09000000400000001,38.5,2.84686017036438,SouthEastAsia
74,Hungary,0.83399999,HUN,1,18310.811,9.876999855041504,5.300000190734863,10.88,29.6,7.4007811546325675,EastEurope
60,Djibouti,0.47,DJI,4,2685.5,,,0.38,,10.56825637817383,SubSaharian
98,Libya,0.71899998,LBY,3,4102.8398,6.265999794006348,13.199999809265142,0.0,,4.968935012817383,NorthAfrica
95,Lesotho,0.495,LSO,4,1539.79,,74.19999694824219,2.3900001,25.4,10.61767673492432,SubSaharian
88,Kenya,0.55000001,KEN,4,1494.63,40.70000076293945,48.70000076293945,1.84,13.6,5.7202911376953125,SubSaharian
53,Equatorial Guinea,0.58200002,GNQ,4,15412.43,,,10.72,,3.8040790557861333,SubSaharian
11,Bahrain,0.82300001,BHR,3,22498.48,1.26800000667572,8.199999809265138,1.5700001000000001,30.299999,4.980796337127686,NorthAfrica
149,Sao Tome and Principe,0.565,STP,4,2150.55,,,5.6900001,,8.353466033935549,SubSaharian
143,Russia,0.80500001,RUS,1,19063.689,143.4290008544922,8.899999618530273,10.12,39.5,7.070408344268799,EastEurope
180,Uganda,0.48800001,UGA,4,1343.45,37.599998474121094,45.400001525878906,10.22,10.3,7.222136974334718,SubSaharian
115,Morocco,0.64499998,MAR,3,3999.5601,33.179000854492195,26.79999923706055,0.43000001,22.0,5.907778263092041,NorthAfrica
131,Pakistan (1971-),0.54799998,PAK,8,2855.55,186.19000244140634,69.30000305175781,0.039999999,22.6,2.613916397094727,SouthAsia
145,St Kitts and Nevis,0.76200002,KNA,10,11237.75,,,8.680000300000001,,5.080365180969238,Caribbean
9,Austria,0.89200002,AUT,5,38868.039,8.543999671936035,3.2999999523162837,12.32,,11.20547294616699,WesternDem
63,Gambia,0.44999999,GMB,4,1601.88,,49.20000076293945,3.4100001000000004,,7.340400695800781,SubSaharian
164,Sudan (2012-),0.48800001,SDN,4,,,,,,8.4287748336792,SubSaharian
2,Algeria,0.74299997,DZA,3,5402.1699,39.11399841308594,17.20000076293945,0.52999997,,7.2071781158447275,NorthAfrica
168,Switzerland,0.93800002,CHE,5,50454.41,8.140000343322754,3.7000000476837163,9.6099997,24.1,11.659268379211431,WesternDem
89,"Korea, North",,PRK,6,1727.8199,,,3.3499999,,,EastAsia
86,Kazakhstan,0.79299998,KAZ,1,14098.88,17.42200088500977,16.70000076293945,6.29,26.299999,4.355939865112306,EastEurope
