ID,z,scan,D25/2,d,B-mag,err_B,B-V,Morph,t_morph,err_t,bri25,survey,key
UGC1736,0.005210,6597.0,144,21,11.62,0.18,0.68,SABc,5.1,0.6,22.91,GHASP,all
UGC5840,0.001935,6575.5,225,6.91,10.5,0.09,0.68,Sbc,4,0.3,23.33,GHASP,UGC5840
UGC8937,0.009877,6627.6,69,4.96,12.78,0.36,nan,SBb,3.1,0.4,22.92,GHASP,all
UGC11283,0.006508,6605.5,69,32.6,13.61,0.06,0.6,Sd,7.9,0.8,22.84,GHASP,all
UGC3685,0.005994,6602.1,120,28.1,13,0.33,nan,Sb,3,0.4,22.76,GHASP,all
UGC9363,0.00526,6597.3,105,27.6,12.26,0.09,0.65,Scd,6.9,0.4,22.25,GHASP,all
UGC10470,0.004543,6592.6,108,24.2,11.89,0.12,0.64,Sbc,4,0.2,22.12,GHASP,all
UGC4820,0.004503,6592.4,150,21.3,11.14,0.1,0.96,Sab,1.6,0.6,22.88,GHASP,all
UGC6118,0.005087,6596.2,75,27.7,11.62,0.13,0.67,Sab,2.1,0.4,22.27,GHASP,all
UGC8490,0.00067,6567.2,159,5.52,11.73,0.05,0.47,Sm,8.9,0.4,23.32,GHASP,all
UGC9179,0.000977,6569.2,183,7.61,11.39,0.13,0.52,SABc,6.9,0.5,22.86,GHASP,all
UGC11597,0.000133,6563.7,420,5.48,9.76,0.22,0.87,SABc,5.9,0.3,23.74,GHASP,all
UGC5842,0.004250,6590.7,89,22.8,12.57,0.39,-0.7,Sc,5.9,0.3,23.27,GHASP,all
UGC6277,0.00398,6588.9,135,22.5,11.79,0.08,0.53,SABc,5.2,0.5,23.3,GHASP,all
NGC0628,0.002192,6577.2,360,9.98,9.7,0.26,0.67,Sc,5.2,0.5,23.37,SINGS,all
NGC1291,0.002799,6581.2,105,10.1,9.42,0.15,0.96,S0-a,0.1,0.4,23.36,SINGS,all
NGC1566,0.005017,6595.7,210.85,19.2,10.29,0.11,0.71,SABb,4,0.2,23.02,SINGS,all
NGC1705,0.002112,6576.7,53.575,6.42,12.79,0.08,0.22,E-S0,-2.7,0.8,22.9,SINGS,all
NGC3184,0.001975,6575.8,255,10.05,10.41,0.16,0.69,SABb,5.9,0.4,23.47,SINGS,NGC3184
NGC3351,0.002595,6579.8,42,9,10.58,0.13,0.85,Sb,3.1,0.4,23.26,SINGS,all
NGC3773,0.003276,6584.3,42,10.8,13.31,0.39,nan,S0,-2.1,0.7,22.5,SINGS,all
NGC3938,0.002699,6580.5,162,15.4,10.88,0.04,0.62,Sc,5.1,0.5,23.23,SINGS,all
NGC4625,0.002071,6576.4,45,10.46,13.03,0.1,nan,SABm,8.7,0.9,22.26,SINGS,all
NGC4725,0.004025,6589.2,360,26.7,9.92,0.15,0.89,SABa,2.3,0.8,21.79,SINGS,all
NGC4736,0.001027,6569.6,420,4.8,8.71,0.29,0.82,SABa,4,0.3,22.9,SINGS,all
NGC5194,0.001544,6572.9,270,09.06,8.61,0.27,0.68,SABb,4,0.3,22.03,SINGS,NGC5194
NGC5713,0.006334,6604.4,99,31.4,11.62,0.13,0.68,SABb,2.8,0.6,22.49,SINGS,all
NGC4579,0.005060,6595.2,180,13.9,10.44,0.1,0.9,Sb,2.2,0.6,23.39,SINGS,all
NGC4189,0.007055,6609.1,81,14,12.52,0.35,0.78,Sc,5.9,0.9,22.79,VIRGO,all
NGC4254,0.008029,6615.5,36,39.7,10.4,0.05,0.67,Sc,5.2,0.7,22.6,VIRGO,all
NGC4321,0.00524,6597.2,204,14,10.01,0.12,0.71,SABb,4,0.3,22.61,VIRGO,all
NGC4519,0.004063,6589.5,114,13.8,12.38,0.05,0.6,Scd,6.9,0.4,22.76,VIRGO,all
NGC4535,0.006551,6605.8,234,13.8,10.56,0.13,0.72,Sc,5,0.4,23.79,VIRGO,all
NGC4571,0.005961,6601.9,135,2.58,11.92,0.22,nan,Sc,6.4,0.8,23.36,VIRGO,all
NGC4548,0.00162,6573.4,165,3.67,10.94,0.06,0.88,Sb,3.1,0.5,23.24,VIRGO,all
NGC4457,0.00294,6582.1,102,13.6,11.42,0.12,0.88,S0-a,0.3,1.1,22.33,VIRGO,all
NGC3642,0.005297,6597.6,186,27.9,11.71,0.11,0.67,Sbc,4,	0.1,23.48,WiNDS,all
NGC4136,0.002031,6576.1,126,6.69,11.9,0.26,nan,Sc,5.2,0.7,22.43,WiNDS,all
NGC3485,0.004790,6594.2,78,26.2,12.72,0.23,0.65,Sb,3.2,0.6,23.1,WiNDS,all
NGC3938,0.002699,6580.5,81,15.4,10.88,0.04,0.62,Sc,5.1,0.5,23.23,WiNDS,all
NGC3184,0.001975,6575.8,127.5,10.05,10.41,0.16,0.69,SABc,5.9,0.4,23.47,WiNDS,all
NGC4900,0.003201,6583.8,75,9.1,11.89,0.09,0.61,Sc,5.1,0.5,22.33,WiNDS,all
NGC5194,0.001544,6572.9,135,09.06,8.61,0.27,0.68,SABb,4,0.3,22.9,WiNDS,all
NGC3344,0.001935,6575.5,225,6.91,10.5,0.09,0.68,Sbc,4,0.3,23.33,WiNDS,all
NGC1058,0.001728,6574.2,114,09.03,11.96,0.14,0.67,Sc,5.1,0.9,22.16,WiNDS,all
NGC3423,0.003349,6584.8,129,14.1,11.61,0.11,nan,Sc,6,0.3,22.96,WiNDS,all
NGC4030,0.004887,6594.9,126,26.4,11.15,0.19,0.88,Sbc,4,0.2,22.51,WiNDS,all
NGC3147,0.009346,6624.1,141,42.9,11.26,0.15,0.93,Sbc,3.9,0.5,22.95,WiNDS,all
NGC628,0.002192,6577.2,180,9.98,9.7,0.26,0.67,Sc,5.2,0.5,23.37,WiNDS,all
NGC2500,0.001671,6573.8,84,9.75,12.22,0.03,0.61,Scd,7,0.3,22.88,WiNDS,all
NGC3631,0.00386,6587.3,180,22.1,10.71,0.31,0.61,Sc,5.1,0.5,22.15,HRS,all
NGC4303,0.00522,6596.2,198,13.6,10.16,0.06,0.63,Sbc,4,0.1,23.05,HRS,all
NGC4378,0.00854,6618,99,41,12.24,0.21,0.99,Sa,1,0.3,22.53,HRS,all
UGC7546,0.00424,6589,96,13.8,14.93,0.5,nan,SABc,6.5,0.9,23.04,HRS,all
NGC4430,0.00484,6593.7,87,13.7,12.65,0.09,nan,Sb,3.5,0.9,22.69,HRS,all
